"Time","Temp wetlab_sbe45_tsg"
1736395200000,20.7171
1736396100000,20.7702
1736397000000,20.8429
1736397900000,20.9268
1736398800000,21.0107
1736399700000,21.0893
1736400600000,28.9875
1736401500000,28.5415
1736402400000,26.8636
1736403300000,26.3193
1736404200000,25.8777
1736405100000,29.0237
1736406000000,29.0397
1736406900000,29.104
1736407800000,29.2389
1736408700000,29.2607
1736409600000,29.1739
1736410500000,29.0327
1736411400000,29.0305
1736412300000,29.0551
1736413200000,29.0645
1736414100000,29.0804
1736415000000,29.0891
1736415900000,29.1225
1736416800000,29.1801
1736417700000,29.2261
1736418600000,29.2505
1736419500000,29.2354
1736420400000,29.2477
1736421300000,29.2547
1736422200000,29.2083
1736423100000,29.1662
1736424000000,29.3743
1736424900000,29.1154
1736425800000,29.1717
1736426700000,29.161
1736427600000,29.2318
1736428500000,29.3413
1736429400000,29.3669
1736430300000,29.2789
1736431200000,29.3113
1736432100000,29.3193
1736433000000,29.3658
1736433900000,29.378
1736434800000,29.4195
1736435700000,29.3279
1736436600000,29.4113
1736437500000,29.3715
1736438400000,29.1082
1736439300000,29.2397
1736440200000,29.1962
1736441100000,29.1843
1736442000000,29.2421
1736442900000,29.2987
1736443800000,29.1566
1736444700000,29.1285
1736445600000,28.9892
1736446500000,28.9309
1736447400000,29.0497
1736448300000,29.0606
1736449200000,29.1089
1736450100000,29.1428
1736451000000,29.0787
1736451900000,29.2378
1736452800000,29.117
1736453700000,29.0746
1736454600000,29.1198
1736455500000,29.1593
1736456400000,29.0497
1736457300000,29.1635
1736458200000,29.1317
1736459100000,29.2016
1736460000000,29.2078
1736460900000,29.1607
1736461800000,29.1166
1736462700000,28.823
1736463600000,28.6861
1736464500000,28.6317
1736465400000,28.524
1736466300000,28.5108
1736467200000,28.4848
1736468100000,28.4405
1736469000000,28.4095
1736469900000,28.4027
1736470800000,28.4438
1736471700000,28.4124
1736472600000,28.4091
1736473500000,28.3673
1736474400000,28.3616
1736475300000,28.3781
1736476200000,28.3926
1736477100000,28.3601
1736478000000,28.3571
1736478900000,28.3698
1736479800000,28.3683
1736480700000,28.335
1736481600000,28.3157
1736482500000,28.3099
1736483400000,28.3288
1736484300000,28.3189
1736485200000,28.3152
1736486100000,28.3321
1736487000000,28.3461
1736487900000,28.354
1736488800000,28.4005
1736489700000,28.4108
1736490600000,28.4241
1736491500000,28.451
1736492400000,28.4737
1736493300000,28.4738
1736494200000,28.4931
1736495100000,28.5027
1736496000000,28.4798
1736496900000,28.5247
1736497800000,28.5145
1736498700000,28.5033
1736499600000,28.4976
1736500500000,28.5365
1736501400000,28.5862
1736502300000,28.6316
1736503200000,28.6675
1736504100000,28.6912
1736505000000,28.7049
1736505900000,28.7512
1736506800000,28.7734
1736507700000,28.7749
1736508600000,28.7989
1736509500000,28.8097
1736510400000,28.7929
1736511300000,28.7569
1736512200000,28.75
1736513100000,28.7396
1736514000000,28.7004
1736514900000,28.6643
1736515800000,28.6984
1736516700000,28.7004
1736517600000,28.6873
1736518500000,28.7222
1736519400000,28.6953
1736520300000,28.7283
1736521200000,28.7408
1736522100000,28.7208
1736523000000,28.7071
1736523900000,28.7188
1736524800000,28.6741
1736525700000,28.705
1736526600000,28.7149
1736527500000,28.6344
1736528400000,28.6369
1736529300000,28.6436
1736530200000,28.6714
1736531100000,28.7499
1736532000000,28.6236
1736532900000,28.6276
1736533800000,28.5757
1736534700000,28.6494
1736535600000,28.6305
1736536500000,28.6226
1736537400000,28.5932
1736538300000,28.5861
1736539200000,28.5564
1736540100000,28.5517
1736541000000,28.5195
1736541900000,28.5142
1736542800000,28.5188
1736543700000,28.5148
1736544600000,28.4939
1736545500000,28.485
1736546400000,28.4818
1736547300000,28.4851
1736548200000,28.4811
1736549100000,28.4719
1736550000000,28.4799
1736550900000,28.4662
1736551800000,28.4522
1736552700000,28.4273
1736553600000,28.3873
1736554500000,28.4059
1736555400000,28.3837
1736556300000,28.3808
1736557200000,28.3926
1736558100000,28.4142
1736559000000,28.5003
1736559900000,28.5104
1736560800000,28.4822
1736561700000,28.4727
1736562600000,28.4445
1736563500000,28.4178
1736564400000,28.4558
1736565300000,28.4488
1736566200000,28.4408
1736567100000,28.4491
1736568000000,28.4383
1736568900000,28.4302
1736569800000,28.3954
1736570700000,28.3977
1736571600000,28.367
1736572500000,28.4162
1736573400000,28.4492
1736574300000,28.4544
1736575200000,28.4274
1736576100000,28.485
1736577000000,28.4586
1736577900000,28.5024
1736578800000,28.5181
1736579700000,28.57
1736580600000,28.6442
1736581500000,28.5697
1736582400000,28.6368
1736583300000,28.6588
1736584200000,28.5751
1736585100000,28.6022
1736586000000,28.6457
1736586900000,28.6784
1736587800000,28.7089
1736588700000,28.7139
1736589600000,28.7749
1736590500000,28.7534
1736591400000,28.7323
1736592300000,28.8577
1736593200000,28.8227
1736594100000,28.8149
1736595000000,28.7797
1736595900000,28.7903
1736596800000,28.7924
1736597700000,28.7612
1736598600000,28.782
1736599500000,28.7319
1736600400000,28.6815
1736601300000,28.663
1736602200000,28.6974
1736603100000,28.6107
1736604000000,28.5869
1736604900000,28.5784
1736605800000,28.5208
1736606700000,28.4936
1736607600000,28.4448
1736608500000,28.4409
1736609400000,28.4149
1736610300000,28.285
1736611200000,28.2415
1736612100000,28.2167
1736613000000,28.1347
1736613900000,28.149
1736614800000,28.0806
1736615700000,28.0249
1736616600000,28.016
1736617500000,27.9706
1736618400000,27.9817
1736619300000,27.9388
1736620200000,27.9079
1736621100000,27.8412
1736622000000,27.8091
1736622900000,27.7795
1736623800000,27.768
1736624700000,27.7441
1736625600000,27.7625
1736626500000,27.7791
1736627400000,27.763
1736628300000,27.7273
1736629200000,27.7323
1736630100000,27.6981
1736631000000,27.639
1736631900000,27.6292
1736632800000,27.6139
1736633700000,27.5589
1736634600000,27.5661
1736635500000,27.5425
1736636400000,27.5133
1736637300000,27.5055
1736638200000,27.4754
1736639100000,27.459
1736640000000,27.4153
1736640900000,27.5186
1736641800000,27.3783
1736642700000,27.3153
1736643600000,27.2518
1736644500000,27.2114
1736645400000,27.2303
1736646300000,27.2697
1736647200000,27.218
1736648100000,27.1938
1736649000000,27.2215
1736649900000,27.2417
1736650800000,27.2856
1736651700000,27.262
1736652600000,27.2969
1736653500000,27.2818
1736654400000,27.2986
1736655300000,27.321
1736656200000,27.321
1736657100000,27.2941
1736658000000,27.2619
1736658900000,27.2748
1736659800000,27.2614
1736660700000,27.2618
1736661600000,27.3745
1736662500000,27.3297
1736663400000,27.3398
1736664300000,27.3233
1736665200000,27.3602
1736666100000,27.4322
1736667000000,27.521
1736667900000,27.3834
1736668800000,27.3574
1736669700000,27.389
1736670600000,27.5082
1736671500000,27.4976
1736672400000,27.446
1736673300000,27.4542
1736674200000,27.3853
1736675100000,27.4483
1736676000000,27.6051
1736676900000,27.6088
1736677800000,27.6624
1736678700000,27.7169
1736679600000,27.8021
1736680500000,27.7482
1736681400000,27.6793
1736682300000,27.7616
1736683200000,27.7026
1736684100000,27.8729
1736685000000,27.8969
1736685900000,27.7906
1736686800000,27.7428
1736687700000,27.8602
1736688600000,27.8975
1736689500000,27.8741
1736690400000,27.9212
1736691300000,27.951
1736692200000,27.9446
1736693100000,27.9887
1736694000000,27.9541
1736694900000,28.0051
1736695800000,27.984
1736696700000,27.9809
1736697600000,27.9368
1736698500000,27.933
1736699400000,28.0053
1736700300000,28.047
1736701200000,27.9822
1736702100000,28.0556
1736703000000,28.051
1736703900000,28.1664
1736704800000,28.1849
1736705700000,28.1403
1736706600000,28.1716
1736707500000,28.1909
1736708400000,28.2337
1736709300000,28.2817
1736710200000,28.1823
1736711100000,28.14
1736712000000,28.1182
1736712900000,28.024
1736713800000,27.9875
1736714700000,28.03
1736715600000,28.0577
1736716500000,28.0089
1736717400000,28.1158
1736718300000,28.1363
1736719200000,28.1164
1736720100000,28.0791
1736721000000,28.0643
1736721900000,28.0462
1736722800000,28.0614
1736723700000,28.0275
1736724600000,28.0399
1736725500000,28.1099
1736726400000,28.0939
1736727300000,28.0055
1736728200000,27.8961
1736729100000,27.9275
1736730000000,27.9189
1736730900000,27.9562
1736731800000,27.9442
1736732700000,27.9564
1736733600000,27.942
1736734500000,27.9795
1736735400000,27.95
1736736300000,27.9677
1736737200000,28.0483
1736738100000,28.0876
1736739000000,28.1374
1736739900000,28.1536
1736740800000,28.1988
1736741700000,28.1673
1736742600000,28.2314
1736743500000,28.2049
1736744400000,28.3033
1736745300000,28.3277
1736746200000,28.3191
1736747100000,28.3038
1736748000000,28.333
1736748900000,27.4237
1736749800000,28.2307
1736750700000,28.3676
1736751600000,28.3797
1736752500000,28.4023
1736753400000,28.4159
1736754300000,28.4728
1736755200000,27.3261
1736756100000,26.8166
1736757000000,27.0353
1736757900000,28.3317
1736758800000,26.809
1736759700000,28.4634
1736760600000,28.5453
1736761500000,28.4894
1736762400000,28.5334
1736763300000,28.459
1736764200000,28.3992
1736765100000,28.5385
1736766000000,28.5706
1736766900000,28.4688
1736767800000,28.5361
1736768700000,28.6587
1736769600000,28.7306
1736770500000,28.7684
1736771400000,28.7053
1736772300000,28.7685
1736773200000,28.6042
1736774100000,28.7076
1736775000000,28.8165
1736775900000,28.767
1736776800000,28.738
1736777700000,28.6546
1736778600000,28.6793
1736779500000,28.6486
1736780400000,28.545
1736781300000,28.5686
1736782200000,28.4931
1736783100000,28.5153
1736784000000,28.5105
1736784900000,28.4445
1736785800000,28.3994
1736786700000,28.3736
1736787600000,28.3368
1736788500000,28.4146
1736789400000,28.3599
1736790300000,28.3731
1736791200000,28.4122
1736792100000,28.4225
1736793000000,28.444
1736793900000,28.4472
1736794800000,28.4589
1736795700000,28.4147
1736796600000,28.4589
1736797500000,28.5068
1736798400000,28.5804
1736799300000,28.5145
1736800200000,28.497
1736801100000,28.504
1736802000000,28.5234
1736802900000,28.5173
1736803800000,28.601
1736804700000,28.5687
1736805600000,28.5647
1736806500000,28.5596
1736807400000,28.5508
1736808300000,28.5686
1736809200000,28.5637
1736810100000,28.5415
1736811000000,28.6548
1736811900000,28.6134
1736812800000,28.6132
1736813700000,28.6386
1736814600000,28.6366
1736815500000,28.6601
1736816400000,28.7019
1736817300000,28.6645
1736818200000,28.6353
1736819100000,28.6733
1736820000000,28.6662
1736820900000,28.7294
1736821800000,28.7086
1736822700000,28.6726
1736823600000,28.6466
1736824500000,28.5947
1736825400000,28.6476
1736826300000,28.5421
1736827200000,28.5181
1736828100000,28.4301
1736829000000,28.5643
1736829900000,28.4981
1736830800000,28.4952
1736831700000,28.4707
1736832600000,28.516
1736833500000,28.5401
1736834400000,28.5739
1736835300000,28.6505
1736836200000,28.6266
1736837100000,28.6353
1736838000000,28.7204
1736838900000,28.7817
1736839800000,28.6908
1736840700000,28.8717
1736841600000,28.7119
1736842500000,28.661
1736843400000,28.6491
1736844300000,28.579
1736845200000,28.5734
1736846100000,28.5745
1736847000000,28.6597
1736847900000,28.6799
1736848800000,28.7093
1736849700000,28.714
1736850600000,28.7357
1736851500000,28.7379
1736852400000,28.7409
1736853300000,28.753
1736854200000,28.7986
1736855100000,28.7122
1736856000000,28.7368
1736856900000,28.8108
1736857800000,28.8578
1736858700000,28.7779
1736859600000,28.8382
1736860500000,28.9076
1736861400000,28.6905
1736862300000,28.7753
1736863200000,28.9309
1736864100000,29.0858
1736865000000,28.8826
1736865900000,28.7296
1736866800000,29.0897
1736867700000,28.9928
1736868600000,29.0109
1736869500000,28.9059
1736870400000,28.7994
